Rank,Country,Year,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Population mid-2018 (millions),"Births per 1,000 Population","Deaths per 1,000 Population",GNI per Capita PPP 2017,Infant Mortality Rate,Number of Records,Percent Urban,Total Fertility Rate
82nd,Thailand,1/1/2017,76.2,9,9.4,8.5,3.3,5.3,4.7,7.5,4.4,8,6.4,5.9,3.8,66.2,11,8,"17,090",10,1,50,1.5
83rd,Bhutan,1/1/2017,76,4.5,7.5,7.9,4.7,6.1,7.2,4.3,6.1,6.6,6.1,7,8,0.8,18,6,"8,850",26,1,39,2.1
84th,Morocco,1/1/2017,74.9,5.8,6.6,7.7,4.8,6.2,8.2,6.7,5.2,6.8,4.8,6.1,6,35.2,18,5,"8,063",22,1,62,2.2
85th,China,1/1/2017,74.7,5.9,7.2,7.9,4.4,7.3,4.9,8.6,5.7,8.5,6.7,4.9,2.7,1393.8,12,7,"16,760",10,1,59,1.8
86th,Turkmenistan,1/1/2017,74.4,6.3,7.8,6.6,4.9,6.7,5.1,9.7,5.6,8.7,5.4,3.5,4.1,5.9,26,7,"17,320",44,1,52,3.2
86th,Maldives,1/1/2017,74.4,6.4,8,4.8,5.9,3.6,6.2,8.5,5.6,8.2,6,4.7,6.5,0.4,20,3,"15,350",8,1,39,2.4
88th,Mexico,1/1/2017,74.3,8.4,5.4,7.2,4.9,6.1,5.8,6.5,6.8,6.5,6.1,5.1,5.5,130.8,19,6,"17,740",17,1,73,2.2
89th,Tunisia,1/1/2017,74.2,8.3,7.8,7.7,6.7,4.9,6.1,6.5,4.4,6.5,4.2,4.7,6.4,11.6,19,6,"11,490",15,1,68,2.3
90th,Ukraine,1/1/2017,74,7.6,8,6.7,6.8,4.2,5.2,8.2,3.7,6.2,4.2,4.6,8.6,42.3,9,14,"8,900",7.7,1,70,1.3
91st,Gabon,1/1/2017,73.8,5.2,7.4,3.8,5.5,6.5,6.1,8.2,6.7,7.5,6.7,4.5,5.7,2.1,29,8,"17,010",37,1,89,3.8
92nd,El Salvador,1/1/2017,73.1,7.3,4.3,6.7,5.4,6.4,7.9,4.8,6.4,6.3,6.9,4.8,5.9,6.5,20,7,"7,540",17,1,70,2.3
93rd,Bosnia and Herzegovina,1/1/2017,73,5.7,8.7,7,5.7,5.1,5.5,6.5,3.6,5.6,3.8,7.6,8.2,,,,,,1,,
94th,Indonesia,1/1/2017,72.9,6.2,7,7.1,4.5,5.8,6.9,5.1,5.9,7.2,6.6,5.4,5.2,265.2,19,7,"11,900",22,1,54,2.4
95th,Belarus,1/1/2017,72.4,6.1,8.3,7.1,6,4.7,3.4,8.7,4.2,7.9,5.1,3.6,7.3,9.5,11,13,"18,140",3.2,1,78,1.5
96th,South Africa,1/1/2017,72.3,6.1,6.1,6.7,7.1,7.5,5.5,6.5,7,4.2,7.2,5.4,3,57.7,21,9,"13,090",36,1,66,2.4
97th,Sao Tome and Principe,1/1/2017,72.1,5,6.3,4.5,8.5,6,8.5,5.6,5.9,3.3,6.2,4.4,7.9,0.2,33,7,"3,370",38,1,73,4.4
98th,Moldova,1/1/2017,72,6.1,8.3,7.3,6.4,4.8,6.6,6.6,4.9,4.9,4.8,3.9,7.4,3.5,11,11,"6,060",9,1,43,1.3
99th,Paraguay,1/1/2017,71.6,6.6,7.8,5.8,5,7.9,5.8,7,6.2,5.9,5.7,3.1,4.8,6.9,21,6,"9,180",17,1,61,2.5
100th,Guyana,1/1/2017,71.3,6.4,5.1,6.7,6,5.7,9.4,5.4,6.2,3.5,5.8,3.8,7.3,0.8,21,8,"8,120",31,1,27,2.5
101st,Saudi Arabia,1/1/2017,71.2,6.3,8.2,7.8,4.5,5,3.8,8,3.8,9.1,5.3,4.7,4.7,33.4,17,3,"54,770",12,1,84,2.4
